,Ticker,Date,Div Amount
483,SNL.AX,2015-09-09,0.05
484,SLC.AX,2017-09-01,0.005
485,SUL.AX,2020-02-28,0.215
486,SUL.AX,2019-08-23,0.285
487,SUL.AX,2019-02-22,0.215
488,SUL.AX,2018-08-29,0.275
489,SUL.AX,2018-02-28,0.215
490,SUL.AX,2017-09-04,0.25
491,SUL.AX,2017-03-06,0.215
492,SUL.AX,2016-09-05,0.215
493,SUL.AX,2016-03-04,0.2
494,SUL.AX,2015-08-28,0.215
495,SUL.AX,2015-02-26,0.185
496,SDG.AX,2019-09-04,0.04
497,SDG.AX,2019-03-07,0.04
498,SDG.AX,2018-09-05,0.06
499,SDG.AX,2018-03-07,0.05
500,SDG.AX,2017-09-07,0.028
501,SDG.AX,2017-03-08,0.04
502,SDG.AX,2016-09-07,0.05
503,SDG.AX,2016-03-08,0.03
504,SUN.AX,2020-02-19,0.26
505,SUN.AX,2019-09-30,0.401648
506,SUN.AX,2019-08-14,0.453141
507,SUN.AX,2019-04-01,0.082389
508,SUN.AX,2019-02-20,0.26
509,SUN.AX,2018-08-15,0.4
510,SUN.AX,2018-02-21,0.33
511,SUN.AX,2017-08-16,0.4
512,SUN.AX,2017-02-21,0.33
513,SUN.AX,2016-08-12,0.38
514,SUN.AX,2016-02-18,0.3
515,SUN.AX,2015-08-11,0.38
516,SUN.AX,2015-02-18,0.38
517,SNZ.AX,2020-03-09,0.062626
518,SNZ.AX,2019-08-26,0.051874
519,SNZ.AX,2019-03-07,0.058972
520,SNZ.AX,2018-08-27,0.0465
521,SNZ.AX,2018-03-08,0.056276
522,SNZ.AX,2017-08-28,0.030296
523,SNZ.AX,2017-03-08,0.046818
524,SNZ.AX,2016-08-26,0.024913
525,SNZ.AX,2016-03-08,0.0262
526,SNZ.AX,2015-08-21,0.014208
527,SNZ.AX,2015-03-05,0.017045
528,SGP.AX,2019-12-30,0.135
529,SGP.AX,2019-06-27,0.141
530,SGP.AX,2018-12-28,0.135
531,SGP.AX,2018-06-28,0.135
532,SGP.AX,2017-12-28,0.13
533,SGP.AX,2017-06-29,0.129
534,SGP.AX,2016-12-29,0.126
535,SGP.AX,2016-06-29,0.123
536,SGP.AX,2015-12-29,0.122
537,SGP.AX,2015-06-26,0.12
538,SST.AX,2020-04-29,0.204
539,SST.AX,2019-09-05,0.092998
540,SST.AX,2019-04-29,0.423923
541,SST.AX,2018-09-06,0.1599
542,SST.AX,2018-04-27,0.135885
543,SST.AX,2017-09-08,0.233562
544,SST.AX,2017-04-27,0.119336
545,SST.AX,2016-12-14,0.08742
546,SST.AX,2016-09-06,0.242184
547,SST.AX,2016-04-28,0.1336
548,SST.AX,2015-09-03,0.395456
549,SST.AX,2015-04-28,0.239907
550,SDF.AX,2020-03-02,0.036
551,SDF.AX,2019-08-23,0.053
552,SDF.AX,2019-02-25,0.032
553,SDF.AX,2018-08-29,0.047
554,SDF.AX,2018-02-26,0.028
555,SDF.AX,2017-09-11,0.0308
556,SDF.AX,2017-03-08,0.026
557,SDF.AX,2016-09-12,0.036
558,SDF.AX,2016-03-08,0.024
559,SDF.AX,2015-09-11,0.03
560,SDF.AX,2015-02-19,0.02
561,SMR.AX,2020-03-31,0.03
562,SMR.AX,2019-09-30,0.08
563,SMR.AX,2019-04-01,0.03
564,SMR.AX,2018-10-30,0.02
565,SBM.AX,2020-03-03,0.04
566,SBM.AX,2019-09-03,0.04
567,SBM.AX,2019-03-05,0.038736
568,SBM.AX,2018-09-04,0.08
569,SBM.AX,2018-03-06,0.04
570,SBM.AX,2017-09-06,0.06
571,SRG.AX,2020-03-10,0.005
